Colección,Instrucción,Esperado,Generado,Aciertos,Errores,Precisión_semántica
empleados,muestra los productos más vendidos,"['producto', 'ventas']","['vendidos', 'total_vendidos', 'empleado', 'item', 'departamento', 'ventas', 'articulo', 'colaborador', 'count', 'total_ventas', 'personal', '_id', 'producto']","['producto', 'ventas']",[],1.0
departamentos,cuenta cuántos clientes hay por ciudad,"['cliente', 'ciudad']","['sector', 'area', 'localidad', 'usuario', 'comprador', 'municipio', 'departamento', 'cliente', 'ciudad', 'empleados']","['cliente', 'ciudad']",[],1.0
departamentos,cuál es el cliente con más compras,"['cliente', 'compras']","['sector', 'area', 'usuario', 'comprador', 'adquisiciones', 'departamento', 'cliente', 'compras', 'empleados']","['cliente', 'compras']",[],1.0
productos,lista los productos sin stock,"['producto', 'stock']","['stock', 'existencia', 'total_vendidos', 'item', 'inventario', 'articulo', 'ventas', '_id', 'producto']","['producto', 'stock']",[],1.0
clientes,muestra el precio promedio de los productos,"['producto', 'precio']","['usuario', 'comprador', 'item', 'valor', 'cliente', 'articulo', 'precio', 'costo', 'compras', 'producto']","['producto', 'precio']",[],1.0
ventas,muestra los productos más vendidos,"['producto', 'ventas']","['vendidos', 'total_vendidos', 'nombre_cliente', 'item', 'total_venta', 'ventas', 'articulo', 'monto', 'total_ventas', 'importe', 'producto', 'transaccion']","['producto', 'ventas']",[],1.0
empleados,lista los productos sin stock,"['producto', 'stock']","['stock', 'existencia', 'empleado', 'item', 'inventario', 'departamento', 'articulo', 'colaborador', 'count', 'personal', '_id', 'producto']","['producto', 'stock']",[],1.0
productos,cuál es el producto más caro,"['producto', 'precio']","['total_vendidos', 'item', 'articulo', 'ventas', '_id', 'producto']",['producto'],['precio'],0.5
departamentos,cuál es la venta más reciente,"['venta', 'fecha']","['sector', 'area', 'venta', 'departamento', 'empleados', 'transaccion']",['venta'],['fecha'],0.5
productos,lista los productos con descuento,"['producto', 'descuento']","['oferta', 'total_vendidos', 'item', 'rebaja', 'articulo', 'ventas', '_id', 'descuento', 'producto']","['producto', 'descuento']",[],1.0
productos,muestra los empleados con mayor antigüedad,"['empleado', 'antiguedad']","['empleado', 'total_vendidos', 'item', 'ventas', 'articulo', 'colaborador', 'count', 'empleados', 'personal', '_id', 'producto']",['empleado'],['antiguedad'],0.5
ventas,une la colección ventas con clientes usando cliente_id y proyecta nombre_cliente y total_venta,"['nombre_cliente', 'total_venta']","['vendidos', 'total_vendidos', 'usuario', 'nombre_cliente', 'comprador', 'total_venta', 'cliente', 'ventas', 'transaccion', 'monto', 'total_ventas', 'importe', '_id', 'cliente_nombre', 'venta']","['nombre_cliente', 'total_venta']",[],1.0
ventas,lista los productos con descuento,"['producto', 'descuento']","['oferta', 'nombre_cliente', 'item', 'rebaja', 'total_venta', 'articulo', 'monto', 'importe', 'descuento', 'producto', 'transaccion']","['producto', 'descuento']",[],1.0
empleados,cuenta cuántos clientes hay por ciudad,"['cliente', 'ciudad']","['empleado', 'localidad', 'usuario', 'comprador', 'municipio', 'departamento', 'cliente', 'ciudad', 'colaborador', 'count', 'personal', '_id']","['cliente', 'ciudad']",[],1.0
empleados,cuál es el departamento con más ventas,"['departamento', 'ventas']","['sector', 'vendidos', 'total_vendidos', 'area', 'empleado', 'departamento', 'transaccion', 'ventas', 'colaborador', 'count', 'total_ventas', 'personal', '_id', 'venta']","['departamento', 'ventas']",[],1.0
empleados,muestra el precio promedio de los productos,"['producto', 'precio']","['empleado', 'item', 'valor', 'departamento', 'articulo', 'precio', 'costo', 'colaborador', 'count', 'personal', '_id', 'producto']","['producto', 'precio']",[],1.0
empleados,cuál es la venta más reciente,"['venta', 'fecha']","['empleado', 'venta', 'departamento', 'colaborador', 'count', 'personal', '_id', 'transaccion']",['venta'],['fecha'],0.5
empleados,cuenta cuántos productos hay por proveedor,"['producto', 'proveedor']","['empleado', 'item', 'departamento', 'articulo', 'proveedor', 'distribuidor', 'colaborador', 'count', 'personal', '_id', 'producto', 'suministrador']","['producto', 'proveedor']",[],1.0
productos,lista los departamentos y su cantidad de empleados,"['departamento', 'empleados']","['sector', 'area', 'empleado', 'total_vendidos', 'item', 'departamento', 'ventas', 'articulo', 'colaborador', 'count', 'empleados', 'personal', '_id', 'producto']","['departamento', 'empleados']",[],1.0
clientes,cuenta cuántos clientes hay por ciudad,"['cliente', 'ciudad']","['localidad', 'usuario', 'comprador', 'municipio', 'cliente', 'ciudad', 'compras']","['cliente', 'ciudad']",[],1.0
productos,lista los empleados por departamento,"['empleado', 'departamento']","['sector', 'area', 'empleado', 'total_vendidos', 'item', 'departamento', 'ventas', 'articulo', 'colaborador', 'count', 'empleados', 'personal', '_id', 'producto']","['empleado', 'departamento']",[],1.0
departamentos,cuál es la venta más reciente,"['venta', 'fecha']","['sector', 'area', 'venta', 'departamento', 'empleados', 'transaccion']",['venta'],['fecha'],0.5
empleados,muestra los productos más vendidos,"['producto', 'ventas']","['vendidos', 'total_vendidos', 'empleado', 'item', 'departamento', 'ventas', 'articulo', 'colaborador', 'count', 'total_ventas', 'personal', '_id', 'producto']","['producto', 'ventas']",[],1.0
empleados,muestra los clientes frecuentes,"['cliente', 'frecuencia']","['empleado', 'usuario', 'comprador', 'departamento', 'cliente', 'colaborador', 'count', 'personal', '_id']",['cliente'],['frecuencia'],0.5
empleados,cuenta cuántos productos hay por proveedor,"['producto', 'proveedor']","['empleado', 'item', 'departamento', 'articulo', 'proveedor', 'distribuidor', 'colaborador', 'count', 'personal', '_id', 'producto', 'suministrador']","['producto', 'proveedor']",[],1.0
empleados,calcula el total de ventas por producto,"['producto', 'total_ventas']","['vendidos', 'total_vendidos', 'empleado', 'item', 'transaccion', 'departamento', 'ventas', 'articulo', 'colaborador', 'count', 'total_ventas', 'personal', '_id', 'producto', 'venta']","['producto', 'total_ventas']",[],1.0
empleados,muestra el precio promedio de los productos,"['producto', 'precio']","['empleado', 'item', 'valor', 'departamento', 'articulo', 'precio', 'costo', 'colaborador', 'count', 'personal', '_id', 'producto']","['producto', 'precio']",[],1.0
