Colección,Instrucción,Esperado,Generado,Aciertos,Errores,Precisión_semántica
clientes,lista los departamentos y su cantidad de empleados,"['departamento', 'empleados']",['campo_no_encontrado'],[],"['departamento', 'empleados']",
clientes,muestra el precio promedio de los productos,"['producto', 'precio']",['campo_no_encontrado'],[],"['producto', 'precio']",
departamentos,muestra los productos más vendidos,"['producto', 'ventas']","['vendidos', 'productos', 'más']",[],"['producto', 'ventas']",
departamentos,lista los departamentos y su cantidad de empleados,"['departamento', 'empleados']",['campo_no_encontrado'],[],"['departamento', 'empleados']",
productos,muestra los clientes que no han comprado,['cliente'],"['no', 'clientes', 'han', 'que', 'comprado']",[],['cliente'],
empleados,cuenta cuántos empleados hay por área,"['empleado', 'area']",['campo_no_encontrado'],[],"['empleado', 'area']",
productos,cuenta cuántos clientes hay por ciudad,"['cliente', 'ciudad']",['campo_no_encontrado'],[],"['cliente', 'ciudad']",
clientes,cuál es el producto más caro,"['producto', 'precio']",['campo_no_encontrado'],[],"['producto', 'precio']",
departamentos,cuál es el producto más caro,"['producto', 'precio']",['campo_no_encontrado'],[],"['producto', 'precio']",
ventas,muestra los 5 productos más vendidos,"['producto', 'ventas']","['producto', 'total_vendidos', '_id']",['producto'],['ventas'],0.5
clientes,muestra los clientes que no han comprado,['cliente'],"['no', 'clientes', 'han', 'que', 'comprado']",[],['cliente'],
ventas,calcula el total de ventas por producto,"['producto', 'total_ventas']",['campo_no_encontrado'],[],"['producto', 'total_ventas']",
productos,cuál es el departamento con más ventas,"['departamento', 'ventas']",['campo_no_encontrado'],[],"['departamento', 'ventas']",
productos,muestra los productos más vendidos,"['producto', 'ventas']","['vendidos', 'productos', 'más']",[],"['producto', 'ventas']",
ventas,muestra los clientes que no han comprado,['cliente'],"['no', 'clientes', 'han', 'que', 'comprado']",[],['cliente'],
clientes,lista los productos sin stock,"['producto', 'stock']",['campo_no_encontrado'],[],"['producto', 'stock']",
productos,cuenta cuántos empleados hay por área,"['empleado', 'area']",['campo_no_encontrado'],[],"['empleado', 'area']",
empleados,muestra los clientes frecuentes,"['cliente', 'frecuencia']","['frecuentes', 'clientes']",[],"['cliente', 'frecuencia']",
clientes,cuenta cuántos empleados hay por área,"['empleado', 'area']",['campo_no_encontrado'],[],"['empleado', 'area']",
clientes,muestra los productos más vendidos,"['producto', 'ventas']","['vendidos', 'productos', 'más']",[],"['producto', 'ventas']",
empleados,muestra los 5 productos más vendidos,"['producto', 'ventas']","['producto', 'total_vendidos', '_id']",['producto'],['ventas'],0.5
empleados,muestra el precio promedio de los productos,"['producto', 'precio']",['campo_no_encontrado'],[],"['producto', 'precio']",
productos,muestra los clientes que no han comprado,['cliente'],"['no', 'clientes', 'han', 'que', 'comprado']",[],['cliente'],
productos,muestra los productos más vendidos,"['producto', 'ventas']","['vendidos', 'productos', 'más']",[],"['producto', 'ventas']",
clientes,cuál es el cliente con más compras,"['cliente', 'compras']",['campo_no_encontrado'],[],"['cliente', 'compras']",
empleados,muestra los productos más vendidos,"['producto', 'ventas']","['vendidos', 'productos', 'más']",[],"['producto', 'ventas']",
clientes,cuál es la venta más reciente,"['venta', 'fecha']",['campo_no_encontrado'],[],"['venta', 'fecha']",
departamentos,cuál es el cliente con más compras,"['cliente', 'compras']",['campo_no_encontrado'],[],"['cliente', 'compras']",
clientes,cuenta cuántos productos hay por proveedor,"['producto', 'proveedor']",['campo_no_encontrado'],[],"['producto', 'proveedor']",
productos,muestra los clientes frecuentes,"['cliente', 'frecuencia']","['frecuentes', 'clientes']",[],"['cliente', 'frecuencia']",
productos,muestra los productos vendidos en el último mes,"['producto', 'fecha_venta']","['mes', 'productos', 'último', 'vendidos', 'en', 'el']",[],"['producto', 'fecha_venta']",
productos,muestra los empleados con mayor antigüedad,"['empleado', 'antiguedad']","['con', 'antigüedad', 'mayor']",[],"['empleado', 'antiguedad']",
ventas,lista los productos sin stock,"['producto', 'stock']",['campo_no_encontrado'],[],"['producto', 'stock']",
departamentos,une la colección ventas con clientes usando cliente_id y proyecta nombre_cliente y total_venta,"['nombre_cliente', 'total_venta']","['nombre_cliente', 'total_venta']","['nombre_cliente', 'total_venta']",[],1.0
ventas,lista los departamentos y su cantidad de empleados,"['departamento', 'empleados']",['campo_no_encontrado'],[],"['departamento', 'empleados']",
